month,channel,spend
1,Paid_Search,300000.0
1,Content,120000.0
1,Organic,40000.0
1,LinkedIn,268000.0
1,Display,40000.0
1,Direct,0.0
1,Account_Based,442000.0
2,Paid_Search,300000.0
2,Content,120000.0
2,Organic,40000.0
2,LinkedIn,268000.0
2,Display,40000.0
2,Direct,0.0
2,Account_Based,442000.0
3,Paid_Search,300000.0
3,Content,120000.0
3,Organic,40000.0
3,LinkedIn,268000.0
3,Display,40000.0
3,Direct,0.0
3,Account_Based,442000.0
4,Paid_Search,240000.0
4,Content,96000.0
4,Organic,32000.0
4,LinkedIn,214400.0
4,Display,32000.0
4,Direct,0.0
4,Account_Based,353600.0
5,Paid_Search,240000.0
5,Content,96000.0
5,Organic,32000.0
5,LinkedIn,214400.0
5,Display,32000.0
5,Direct,0.0
5,Account_Based,353600.0
6,Paid_Search,240000.0
6,Content,96000.0
6,Organic,32000.0
6,LinkedIn,214400.0
6,Display,32000.0
6,Direct,0.0
6,Account_Based,353600.0
7,Paid_Search,180000.0
7,Content,72000.0
7,Organic,24000.0
7,LinkedIn,160800.0
7,Display,24000.0
7,Direct,0.0
7,Account_Based,265200.0
8,Paid_Search,180000.0
8,Content,72000.0
8,Organic,24000.0
8,LinkedIn,160800.0
8,Display,24000.0
8,Direct,0.0
8,Account_Based,265200.0
9,Paid_Search,450000.0
9,Content,180000.0
9,Organic,60000.0
9,LinkedIn,402000.0
9,Display,60000.0
9,Direct,0.0
9,Account_Based,663000.0
10,Paid_Search,450000.0
10,Content,180000.0
10,Organic,60000.0
10,LinkedIn,402000.0
10,Display,60000.0
10,Direct,0.0
10,Account_Based,663000.0
11,Paid_Search,450000.0
11,Content,180000.0
11,Organic,60000.0
11,LinkedIn,402000.0
11,Display,60000.0
11,Direct,0.0
11,Account_Based,663000.0
12,Paid_Search,540000.0
12,Content,216000.0
12,Organic,72000.0
12,LinkedIn,482400.0
12,Display,72000.0
12,Direct,0.0
12,Account_Based,795600.0
